District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza,Mieszanki na ziarno: Jęczmień,Mieszanki na ziarno: Inne mieszanki zbóż,Groch,"Fasola, bób, soczewica",Len: Nasienie,Len: Włókno,Konopie: Nasienie,Konopie: Włókno,Rzepak i rzepik,Chmiel,Tytoń
AUGUSTOWSKI,26982.0,132349.0,43759.0,84431.0,876227.0,0.0,4046.0,24.0,7.0,1063.0,1648.0,12057.0,1175.0,3679.0,2359.0,224.0,197.0,20.0,0.0,2260.0
BIAŁOSTOCKI,37341.0,375139.0,58035.0,165663.0,1613844.0,0.0,4813.0,78.0,0.0,2252.0,4169.0,26493.0,412.0,5669.0,3193.0,92.0,179.0,647.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),110273.0,440664.0,74730.0,223538.0,2245964.0,0.0,7901.0,2865.0,0.0,1491.0,4123.0,35466.0,1822.0,14958.0,6739.0,662.0,636.0,1258.0,0.0,0.0
GRODZIEŃSKI,30761.0,299844.0,65042.0,120363.0,1385858.0,0.0,14505.0,720.0,30.0,1260.0,1982.0,18502.0,392.0,5372.0,3233.0,602.0,492.0,38.0,0.0,284.0
ŁOMŻYŃSKI,115642.0,678086.0,55811.0,264131.0,2729911.0,13328.0,18672.0,1836.0,0.0,3473.0,6905.0,35233.0,531.0,3233.0,2956.0,243.0,173.0,2011.0,0.0,0.0
OSTROŁĘCKI,43124.0,399090.0,26602.0,71860.0,1431306.0,21690.0,20706.0,4199.0,70.0,2414.0,1219.0,17676.0,194.0,7465.0,4040.0,155.0,123.0,404.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),43449.0,225512.0,20108.0,52183.0,916211.0,8627.0,15684.0,1955.0,0.0,3305.0,1653.0,14966.0,535.0,2410.0,1743.0,55.0,34.0,572.0,0.0,0.0
SOKÓLSKI,20897.0,337356.0,55671.0,163066.0,957241.0,0.0,10419.0,0.0,0.0,824.0,2184.0,21287.0,1531.0,8318.0,5286.0,656.0,481.0,223.0,0.0,0.0
SUWALSKI,34339.0,216135.0,50214.0,236452.0,860280.0,0.0,2416.0,0.0,0.0,1286.0,729.0,23280.0,2721.0,4777.0,3589.0,501.0,332.0,61.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),43100.0,206038.0,29814.0,87273.0,978889.0,0.0,3918.0,418.0,0.0,2927.0,6460.0,18783.0,36.0,1319.0,931.0,72.0,64.0,413.0,0.0,0.0
